,date,Total_reported,Deceased,Hospital_admission,people_fully_vaccinated,people_vaccinated,Aflassing evenement,Lockdown,Avondklok,Scholen dicht,Sluiten horeca,Total_reported_daily,Deceased_daily,Hospital_admission_daily
59,05-02-2021,1507615.0,17172.0,28784.0,1264809.0,4498980.0,True,False,False,False,True,46478.0,123.0,485.0
60,05-09-2021,1560022.0,17323.0,29315.0,1585379.0,5069137.0,True,False,False,False,True,52407.0,151.0,531.0
61,16-05-2021,1598164.0,17449.0,29765.0,1930338.0,5761367.0,True,False,False,False,True,38142.0,126.0,450.0
62,23-05-2021,1626232.0,17544.0,30119.0,2469276.0,6271338.0,True,False,False,False,True,28068.0,95.0,354.0
63,30-05-2021,1647418.0,17621.0,30376.0,3085654.0,6762824.0,True,False,False,False,True,21186.0,77.0,257.0
64,06-06-2021,1663050.0,17678.0,30573.0,3836966.0,7343146.0,True,False,False,False,False,15632.0,57.0,197.0
65,13-06-2021,1672744.0,17711.0,30696.0,4527070.0,8360991.0,True,False,False,False,False,9694.0,33.0,123.0
66,20-06-2021,1678983.0,17726.0,30796.0,5220149.0,9105103.0,True,False,False,False,False,6239.0,15.0,100.0
67,27-06-2021,1683271.0,17741.0,30853.0,5919328.0,9922464.0,False,False,False,False,False,4288.0,15.0,57.0
68,07-04-2021,1689106.0,17756.0,30892.0,6584339.0,10863620.0,False,False,False,False,False,5835.0,15.0,39.0
69,07-11-2021,1728438.0,17765.0,30924.0,7071137.0,11693924.0,False,False,False,False,False,39332.0,9.0,32.0
70,18-07-2021,1798570.0,17776.0,31014.0,7960019.0,11920675.0,False,False,False,False,False,70132.0,11.0,90.0
71,25-07-2021,1843521.0,17800.0,31166.0,8624639.0,12115590.0,False,False,False,False,False,44951.0,24.0,152.0
72,08-01-2021,1867815.0,17829.0,31377.0,9287868.0,12270541.0,False,False,False,False,False,24294.0,29.0,211.0
73,08-08-2021,1885805.0,17869.0,31558.0,10029656.0,12362493.0,False,False,False,False,False,17990.0,40.0,181.0
74,15-08-2021,1901900.0,17909.0,31718.0,10682234.0,12438993.0,False,False,False,False,False,16095.0,40.0,160.0
75,22-08-2021,1918769.0,17953.0,31905.0,10910159.0,12511153.0,False,False,False,False,False,16869.0,44.0,187.0
76,29-08-2021,1936572.0,17996.0,32098.0,11117613.0,12574903.0,False,False,False,False,False,17803.0,43.0,193.0
77,09-05-2021,1954233.0,18037.0,32278.0,11278306.0,12627623.0,False,False,False,False,False,17661.0,41.0,180.0
78,09-12-2021,1970914.0,18069.0,32467.0,11363644.0,12675085.0,False,False,False,False,False,16681.0,32.0,189.0
79,19-09-2021,1984915.0,18114.0,32608.0,11450440.0,12743648.0,False,False,False,False,False,14001.0,45.0,141.0
80,26-09-2021,1996498.0,18150.0,32725.0,11534395.0,12814352.0,False,False,False,False,False,11583.0,36.0,117.0
81,10-03-2021,2008024.0,18182.0,32851.0,11606866.0,12879160.0,False,False,False,False,False,11526.0,32.0,126.0
82,10-10-2021,2023691.0,18204.0,32970.0,11670631.0,12921560.0,False,False,False,False,False,15667.0,22.0,119.0
83,17-10-2021,2047711.0,18248.0,33121.0,11731736.0,12953946.0,False,False,False,False,False,24020.0,44.0,151.0
84,24-10-2021,2082563.0,18314.0,33376.0,11785475.0,12989097.0,False,False,False,False,False,34852.0,66.0,255.0
